season,team,net_epa,clutch_index_0_100,power_score_plus,rank_power_plus
2024,DET,0.1740189222389562,63.28973290057581,1.8024981915958427,1
2024,BAL,0.15303287931904622,86.01945713437657,1.6417617620536038,2
2024,PHI,0.1467071133281174,26.675632742498188,1.43971615973135,3
2024,BUF,0.14066925544246983,42.39190985947569,1.4147641256180983,4
2024,GB,0.118475236823209,44.93664291702376,1.1949037413601926,5
2024,TB,0.0804058811719204,100.0,0.9354150896267056,6
2024,DEN,0.09399024300985631,34.53053109379573,0.9216884377591653,7
2024,WAS,0.0790636419305942,74.15971701807754,0.8618031676546146,8
2024,MIN,0.08649881621394409,21.44220487753344,0.8151137711185161,9
2024,LAC,0.0716136535315463,55.37117764743595,0.742423600264654,10
2024,CIN,0.046496306407516494,69.74400256270995,0.520271315678741,11
2024,KC,0.050767164447745504,46.62744931120214,0.5100776843846706,12
2024,ARI,0.0184881419506129,49.45449384823154,0.18828430466055804,13
2024,PIT,0.005959485090227401,24.60042485172917,0.0031687282787291535,14
2024,HOU,0.0107087868487897,0.0,-0.00560109741356285,15
2024,,0.0,43.75299576338686,-0.01301270536935898,16
2024,ATL,-0.0012902979370622986,21.061125480570624,-0.07879087859233767,17
2024,SEA,-0.009314008767174501,44.83432956916961,-0.10524887652479714,18
2024,LA,-0.0124951580139104,26.121200120627915,-0.1810293987193132,19
2024,MIA,-0.022872374860147298,70.62651574026246,-0.18332252801789198,20
2024,SF,-0.025575269911143502,80.47226080665601,-0.18797182134854984,21
2024,NYJ,-0.0265960235885395,72.58601404093888,-0.21665403610860673,22
2024,IND,-0.0419461665157334,65.47621333595201,-0.3892980032045075,23
2024,CHI,-0.058898150720272,37.54138396403141,-0.6265575620978785,24
2024,NO,-0.0666993286415013,33.673785009368444,-0.7148879096933989,25
2024,JAX,-0.1020428607098477,50.516597014602226,-1.035333182347639,26
2024,LV,-0.10460644852487959,55.394375572465314,-1.0500927613120257,27
2024,DAL,-0.10452238317462981,47.35079736829999,-1.067901447323156,28
2024,NE,-0.11399398452939069,31.137639684331905,-1.201869783917689,29
2024,TEN,-0.1364571913966354,39.66325759118848,-1.4105907621262728,30
2024,CLE,-0.14155358549288719,38.66452956209006,-1.4647503856221848,31
2024,NYG,-0.13710398941477342,17.618383799335355,-1.4683217864931706,32
2024,CAR,-0.15762886706275958,54.87699205175403,-1.5906551535531002,33
